instance,source,jobs,initial_jobs,future_jobs,arrival_events,seed,file
sdmk01a_dyn,sdmk01a.json,10,4,6,6,20260408,data/dauzere_dynamic/sdmk01a_dyn.json
sdmk02a_dyn,sdmk02a.json,10,4,6,6,20260409,data/dauzere_dynamic/sdmk02a_dyn.json
sdmk03a_dyn,sdmk03a.json,10,4,6,7,20260410,data/dauzere_dynamic/sdmk03a_dyn.json
sdmk04a_dyn,sdmk04a.json,10,4,6,5,20260411,data/dauzere_dynamic/sdmk04a_dyn.json
sdmk05a_dyn,sdmk05a.json,10,4,6,7,20260412,data/dauzere_dynamic/sdmk05a_dyn.json
sdmk06a_dyn,sdmk06a.json,10,4,6,6,20260413,data/dauzere_dynamic/sdmk06a_dyn.json
sdmk07a_dyn,sdmk07a.json,15,6,9,9,20260414,data/dauzere_dynamic/sdmk07a_dyn.json
sdmk08a_dyn,sdmk08a.json,15,6,9,9,20260415,data/dauzere_dynamic/sdmk08a_dyn.json
sdmk09a_dyn,sdmk09a.json,15,6,9,8,20260416,data/dauzere_dynamic/sdmk09a_dyn.json
sdmk10a_dyn,sdmk10a.json,15,6,9,10,20260417,data/dauzere_dynamic/sdmk10a_dyn.json
sdmk11a_dyn,sdmk11a.json,15,6,9,9,20260418,data/dauzere_dynamic/sdmk11a_dyn.json
sdmk12a_dyn,sdmk12a.json,15,6,9,9,20260419,data/dauzere_dynamic/sdmk12a_dyn.json
sdmk13a_dyn,sdmk13a.json,20,8,12,10,20260420,data/dauzere_dynamic/sdmk13a_dyn.json
sdmk14a_dyn,sdmk14a.json,20,8,12,10,20260421,data/dauzere_dynamic/sdmk14a_dyn.json
sdmk15a_dyn,sdmk15a.json,20,8,12,11,20260422,data/dauzere_dynamic/sdmk15a_dyn.json
sdmk16a_dyn,sdmk16a.json,20,8,12,10,20260423,data/dauzere_dynamic/sdmk16a_dyn.json
sdmk17a_dyn,sdmk17a.json,20,8,12,11,20260424,data/dauzere_dynamic/sdmk17a_dyn.json
sdmk18a_dyn,sdmk18a.json,20,8,12,11,20260425,data/dauzere_dynamic/sdmk18a_dyn.json
