instance,run,algorithm,cost,makespan
sdmk01,1,EDA-TS,1000.0,47.0
sdmk01,1,EDA-TS,947.0,48.0
sdmk01,1,EDA,1118.0,66.0
sdmk01,1,EDA,1156.0,50.0
sdmk01,1,EDA,1146.0,61.0
sdmk01,1,NSGA-II,1221.0,51.0
sdmk01,1,NSGA-II,1149.0,63.0
sdmk01,1,NSGA-II,1218.0,53.0
sdmk01,1,NSGA-II,1210.0,58.0
sdmk01,1,NSGA-II,1163.0,62.0
sdmk01,1,EDA-VNS,1082.0,59.0
sdmk01,1,EDA-VNS,1147.0,55.0
sdmk01,1,EDA-VNS,1147.0,55.0
sdmk01,1,H-GA-TS,1263.0,55.0
sdmk01,1,H-GA-TS,1054.0,65.0
sdmk01,2,EDA-TS,972.0,46.0
sdmk01,2,EDA-TS,947.0,47.0
sdmk01,2,EDA,1114.0,57.0
sdmk01,2,NSGA-II,1442.0,56.0
sdmk01,2,NSGA-II,1241.0,61.0
sdmk01,2,NSGA-II,1324.0,58.0
sdmk01,2,NSGA-II,1308.0,59.0
sdmk01,2,NSGA-II,1440.0,57.0
sdmk01,2,NSGA-II,1236.0,64.0
sdmk01,2,NSGA-II,1175.0,70.0
sdmk01,2,EDA-VNS,1084.0,50.0
sdmk01,2,H-GA-TS,1219.0,52.0
sdmk01,2,H-GA-TS,1063.0,57.0
sdmk02,1,EDA-TS,952.0,31.0
sdmk02,1,EDA-TS,913.0,35.0
sdmk02,1,EDA-TS,856.0,38.0
sdmk02,1,EDA,1274.0,51.0
sdmk02,1,EDA,1331.0,46.0
sdmk02,1,EDA,1209.0,56.0
sdmk02,1,EDA,1170.0,61.0
sdmk02,1,EDA,1225.0,53.0
sdmk02,1,EDA,1309.0,49.0
sdmk02,1,NSGA-II,1155.0,48.0
sdmk02,1,NSGA-II,1473.0,46.0
sdmk02,1,EDA-VNS,1194.0,42.0
sdmk02,1,EDA-VNS,1120.0,46.0
sdmk02,1,H-GA-TS,1129.0,51.0
sdmk02,1,H-GA-TS,1148.0,46.0
sdmk02,2,EDA-TS,988.0,35.0
sdmk02,2,EDA-TS,922.0,36.0
sdmk02,2,EDA-TS,1067.0,34.0
sdmk02,2,EDA-TS,881.0,38.0
sdmk02,2,EDA,1179.0,57.0
sdmk02,2,EDA,1197.0,47.0
sdmk02,2,NSGA-II,1190.0,62.0
sdmk02,2,NSGA-II,1268.0,48.0
sdmk02,2,NSGA-II,1201.0,50.0
sdmk02,2,NSGA-II,1386.0,46.0
sdmk02,2,EDA-VNS,1103.0,54.0
sdmk02,2,EDA-VNS,1135.0,45.0
sdmk02,2,EDA-VNS,1214.0,41.0
sdmk02,2,H-GA-TS,1113.0,44.0
sdmk03,1,EDA-TS,3837.0,152.0
sdmk03,1,EDA-TS,3837.0,152.0
sdmk03,1,EDA-TS,4921.0,142.0
sdmk03,1,EDA-TS,4814.0,147.0
sdmk03,1,EDA-TS,3837.0,152.0
sdmk03,1,EDA,6994.0,243.0
sdmk03,1,EDA,6565.0,256.0
sdmk03,1,EDA,6045.0,287.0
sdmk03,1,EDA,6294.0,278.0
sdmk03,1,EDA,6550.0,257.0
sdmk03,1,EDA,6305.0,272.0
