instance,competitor,metric,Wm,p_value,win,n_runs
sdmk01,EDA,GD,0.0,0.3710933695226979,=,2
sdmk01,EDA,IGD,0.0,0.3710933695226979,=,2
sdmk01,NSGA-II,GD,0.0,0.3710933695226979,=,2
sdmk01,NSGA-II,IGD,0.0,0.3710933695226979,=,2
sdmk01,EDA-VNS,GD,0.0,0.3710933695226979,=,2
sdmk01,EDA-VNS,IGD,0.0,0.3710933695226979,=,2
sdmk01,H-GA-TS,GD,0.0,0.3710933695226979,=,2
sdmk01,H-GA-TS,IGD,0.0,0.3710933695226979,=,2
sdmk02,EDA,GD,0.0,0.3710933695226979,=,2
sdmk02,EDA,IGD,0.0,0.3710933695226979,=,2
sdmk02,NSGA-II,GD,0.0,0.3710933695226979,=,2
sdmk02,NSGA-II,IGD,0.0,0.3710933695226979,=,2
sdmk02,EDA-VNS,GD,0.0,0.3710933695226979,=,2
sdmk02,EDA-VNS,IGD,0.0,0.3710933695226979,=,2
sdmk02,H-GA-TS,GD,0.0,0.3710933695226979,=,2
sdmk02,H-GA-TS,IGD,0.0,0.3710933695226979,=,2
sdmk03,EDA,GD,0.0,0.3710933695226979,=,2
sdmk03,EDA,IGD,0.0,0.3710933695226979,=,2
sdmk03,NSGA-II,GD,0.0,0.3710933695226979,=,2
sdmk03,NSGA-II,IGD,0.0,0.3710933695226979,=,2
sdmk03,EDA-VNS,GD,0.0,0.3710933695226979,=,2
sdmk03,EDA-VNS,IGD,0.0,0.3710933695226979,=,2
sdmk03,H-GA-TS,GD,0.0,0.3710933695226979,=,2
sdmk03,H-GA-TS,IGD,0.0,0.3710933695226979,=,2
sdmk04,EDA,GD,0.0,0.3710933695226979,=,2
sdmk04,EDA,IGD,0.0,0.3710933695226979,=,2
sdmk04,NSGA-II,GD,0.0,0.3710933695226979,=,2
sdmk04,NSGA-II,IGD,0.0,0.3710933695226979,=,2
sdmk04,EDA-VNS,GD,0.0,0.3710933695226979,=,2
sdmk04,EDA-VNS,IGD,0.0,0.3710933695226979,=,2
sdmk04,H-GA-TS,GD,0.0,0.3710933695226979,=,2
sdmk04,H-GA-TS,IGD,0.0,0.3710933695226979,=,2
sdmk05,EDA,GD,0.0,0.3710933695226979,=,2
sdmk05,EDA,IGD,0.0,0.3710933695226979,=,2
sdmk05,NSGA-II,GD,0.0,0.3710933695226979,=,2
sdmk05,NSGA-II,IGD,0.0,0.3710933695226979,=,2
sdmk05,EDA-VNS,GD,0.0,0.3710933695226979,=,2
sdmk05,EDA-VNS,IGD,0.0,0.3710933695226979,=,2
sdmk05,H-GA-TS,GD,0.0,0.3710933695226979,=,2
sdmk05,H-GA-TS,IGD,0.0,0.3710933695226979,=,2
sdmk06,EDA,GD,0.0,0.3710933695226979,=,2
sdmk06,EDA,IGD,0.0,0.3710933695226979,=,2
sdmk06,NSGA-II,GD,0.0,0.3710933695226979,=,2
